                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 1.109075203382e-004	 2.049486556499e-004	 4.671447284237e-004	 1.122371726605e-003	 9.791100095927e+000	 1.694127622791e-010	 8.379637305051e+000	 2.076362404684e-004	 0.000000000000e+000	
 1.119370675012e-004	 1.982255611335e-004	 4.353176263346e-004	 1.043212239161e-003	 9.799028234535e+000	 1.661508503198e-010	-4.475338116406e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.119269477195e-004	 1.982154413442e-004	 4.353176262961e-004	 1.043212239069e-003	 9.798999504536e+000	 1.661617943456e-010	-4.460409544911e+000	 2.075813164693e-004	 0.000000000000e+000	
 1.129508574984e-004	 1.916271902821e-004	 4.031703740750e-004	 9.636934129977e-004	 9.807029758141e+000	 1.629161089432e-010	 8.493545418365e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.129411263789e-004	 1.916174591559e-004	 4.031703740407e-004	 9.636934129158e-004	 9.807002416822e+000	 1.629263185303e-010	 8.492072960942e+000	 2.075289402946e-004	 0.000000000000e+000	
 1.139484246824e-004	 1.852197984219e-004	 3.710274927512e-004	 8.845977322871e-004	 9.815061444554e+000	 1.597266110330e-010	 8.273886763242e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.139393159223e-004	 1.852106896561e-004	 3.710274927217e-004	 8.845977322167e-004	 9.815036111656e+000	 1.597358827674e-010	 8.289427013875e+000	 2.074802070689e-004	 0.000000000000e+000	
 1.149189498412e-004	 1.790537314078e-004	 3.392120588741e-004	 8.066936801927e-004	 9.823048034228e+000	 1.566107084191e-010	-5.041240766506e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.149106743275e-004	 1.790454558894e-004	 3.392120588496e-004	 8.066936801344e-004	 9.823025246148e+000	 1.566188834631e-010	-5.038099855542e+000	 2.074360950319e-004	 0.000000000000e+000	
 1.158519092387e-004	 1.731725910588e-004	 3.080361418629e-004	 7.307136466699e-004	 9.830913776820e+000	 1.535948282724e-010	 8.393014011628e+000	 0.000000000000e+000	 0.000000000000e+000	
